date,open,high,low,close,adj_close,volume,symbol
2002-08-12,63.626407623291016,64.124267578125,63.02897644042969,63.77576446533203,63.53408050537109,20294,NETWORK18
2002-08-13,63.875335693359375,65.71741485595703,63.875335693359375,65.26934051513672,65.0219955444336,30072,NETWORK18
2002-08-14,65.31912994384766,67.65906524658203,64.27362060546875,65.26934051513672,65.0219955444336,72268,NETWORK18
2002-08-15,65.26934051513672,65.26934051513672,65.26934051513672,65.26934051513672,65.0219955444336,0,NETWORK18
2002-08-16,65.21955871582031,67.60928344726562,63.72597885131836,64.22383880615234,63.9804573059082,49139,NETWORK18
2002-08-19,68.75435638427734,69.5509262084961,64.124267578125,64.57233428955078,64.32762908935547,27675,NETWORK18
2002-08-20,65.418701171875,68.60499572753906,64.22383880615234,67.60928344726562,67.35307312011719,71758,NETWORK18
2002-08-21,67.70885467529297,70.54664611816406,66.81270599365234,69.40157318115234,69.13856506347656,105698,NETWORK18
2002-08-22,70.49686431884766,70.94493865966797,67.95777893066406,68.60499572753906,68.34500885009766,48757,NETWORK18
2002-08-23,68.80414581298828,81.64891052246094,65.71741485595703,71.39301300048828,71.1224594116211,154575,NETWORK18
2002-08-26,71.94065856933594,74.57930755615234,70.74579620361328,73.43423461914062,73.15594482421875,116496,NETWORK18
2002-08-27,74.67887878417969,77.51667785644531,72.18958282470703,72.88658905029297,72.6103744506836,249288,NETWORK18
2002-08-28,72.93637084960938,73.185302734375,71.34322357177734,72.04022979736328,71.76722717285156,70137,NETWORK18
2002-08-29,71.69172668457031,71.94065856933594,70.29772186279297,70.79557800292969,70.52729034423828,33459,NETWORK18
2002-08-30,70.69600677490234,72.78701782226562,70.69600677490234,72.38872528076172,72.1144027709961,42895,NETWORK18
2002-09-02,72.93637084960938,74.52952575683594,72.23937225341797,72.68744659423828,72.4119873046875,65237,NETWORK18
2002-09-03,72.78701782226562,72.78701782226562,71.24365234375,71.59215545654297,71.32084655761719,26950,NETWORK18
2002-09-04,70.69600677490234,70.69600677490234,69.25221252441406,70.19815063476562,69.93212890625,38987,NETWORK18
2002-09-05,71.44279479980469,71.69172668457031,70.24793243408203,70.6462173461914,70.37849426269531,24480,NETWORK18
2002-09-06,69.70028686523438,70.19815063476562,67.85820770263672,68.15692138671875,67.89863586425781,22121,NETWORK18
2002-09-09,68.25650024414062,69.20243072509766,66.21527099609375,66.66334533691406,66.41072082519531,27138,NETWORK18
2002-09-10,66.66334533691406,66.66334533691406,66.66334533691406,66.66334533691406,66.41072082519531,0,NETWORK18
2002-09-11,67.16120910644531,69.00328826904297,65.0204086303711,68.40585327148438,68.14662170410156,18715,NETWORK18
2002-09-12,67.85820770263672,69.70028686523438,67.70885467529297,69.15264129638672,68.89057922363281,19041,NETWORK18
2002-09-13,68.95349884033203,69.20243072509766,67.75863647460938,68.20671081542969,67.94823455810547,13978,NETWORK18
2002-09-16,67.70885467529297,68.60499572753906,66.91227722167969,67.45992279052734,67.20427703857422,11024,NETWORK18
2002-09-17,67.75863647460938,68.65478515625,66.91227722167969,67.11141967773438,66.85709381103516,23973,NETWORK18
2002-09-18,67.70885467529297,67.70885467529297,66.06591796875,66.61356353759766,66.36112213134766,12213,NETWORK18
2002-09-19,66.36463165283203,66.713134765625,64.32341003417969,65.16976928710938,64.92279815673828,18922,NETWORK18
2002-09-20,64.42298126220703,65.418701171875,63.477046966552734,64.57233428955078,64.32762908935547,15153,NETWORK18
2002-09-23,63.72597885131836,64.97062683105469,63.228118896484375,63.57661819458008,63.33568954467773,9408,NETWORK18
2002-09-24,63.626407623291016,63.72597885131836,60.04182052612305,61.08732223510742,60.85582733154297,32444,NETWORK18
2002-09-25,60.44010543823242,62.13282775878906,59.84267425537109,61.78432846069336,61.55018997192383,16446,NETWORK18
2002-09-26,61.78432846069336,63.57661819458008,61.78432846069336,62.78004455566406,62.54213333129883,20726,NETWORK18
