date,open,high,low,close,adj_close,volume,symbol
2023-10-12,76.0,80.19999694824219,75.69999694824219,80.19999694824219,80.19999694824219,4603923,PLAZACABLE
2023-10-13,84.19999694824219,84.19999694824219,84.19999694824219,84.19999694824219,84.19999694824219,289383,PLAZACABLE
2023-10-16,88.4000015258789,88.4000015258789,84.19999694824219,88.4000015258789,88.4000015258789,2872234,PLAZACABLE
2023-10-17,90.0,92.8000030517578,88.4000015258789,92.8000030517578,92.8000030517578,1455052,PLAZACABLE
2023-10-18,97.4000015258789,97.4000015258789,96.1500015258789,97.4000015258789,97.4000015258789,776370,PLAZACABLE
2023-10-19,100.5999984741211,102.25,93.0,102.25,102.25,2485493,PLAZACABLE
2023-10-20,104.4000015258789,107.3499984741211,104.0,107.3499984741211,107.3499984741211,603380,PLAZACABLE
2023-10-23,112.6999969482422,112.6999969482422,103.5999984741211,112.6999969482422,112.6999969482422,1340367,PLAZACABLE
2023-10-25,118.3000030517578,118.3000030517578,116.3000030517578,118.3000030517578,118.3000030517578,689579,PLAZACABLE
2023-10-26,124.1999969482422,124.1999969482422,120.5,124.1999969482422,124.1999969482422,760551,PLAZACABLE
2023-10-27,134.0,136.60000610351562,131.0500030517578,136.60000610351562,136.60000610351562,581099,PLAZACABLE
2023-10-30,150.25,150.25,146.35000610351562,150.25,150.25,651973,PLAZACABLE
2023-10-31,165.25,165.25,165.25,165.25,165.25,194193,PLAZACABLE
2023-11-01,173.5,173.5,157.0,157.0,157.0,2787864,PLAZACABLE
2023-11-02,149.14999389648438,149.14999389648438,149.14999389648438,149.14999389648438,149.14999389648438,86081,PLAZACABLE
2023-11-03,141.6999969482422,141.6999969482422,141.6999969482422,141.6999969482422,141.6999969482422,62198,PLAZACABLE
2023-11-06,134.64999389648438,134.64999389648438,134.64999389648438,134.64999389648438,134.64999389648438,49169,PLAZACABLE
2023-11-07,127.9499969482422,135.89999389648438,127.9499969482422,127.9499969482422,127.9499969482422,6130083,PLAZACABLE
2023-11-08,121.5500030517578,121.5500030517578,121.5500030517578,121.5500030517578,121.5500030517578,210837,PLAZACABLE
2023-11-09,118.5500030517578,122.3499984741211,115.5,115.5,115.5,10448853,PLAZACABLE
2023-11-10,115.4499969482422,119.5999984741211,110.3000030517578,113.6999969482422,113.6999969482422,2551392,PLAZACABLE
2023-11-13,116.8000030517578,122.0,113.0,122.0,122.0,1063633,PLAZACABLE
2023-11-15,123.75,123.8000030517578,115.9000015258789,115.9000015258789,115.9000015258789,3632054,PLAZACABLE
2023-11-16,112.0,114.0,110.0999984741211,110.0999984741211,110.0999984741211,975714,PLAZACABLE
2023-11-17,109.0,109.25,104.5999984741211,105.0500030517578,105.0500030517578,1248447,PLAZACABLE
2023-11-20,106.9499969482422,110.3000030517578,106.9000015258789,110.3000030517578,110.3000030517578,852742,PLAZACABLE
2023-11-21,115.8000030517578,115.8000030517578,112.0,115.8000030517578,115.8000030517578,626317,PLAZACABLE
2023-11-22,115.9000015258789,119.0,111.75,112.5999984741211,112.5999984741211,702202,PLAZACABLE
2023-11-23,113.8000030517578,114.4000015258789,111.0,111.9499969482422,111.9499969482422,178003,PLAZACABLE
2023-11-24,112.9000015258789,112.9499969482422,107.0,109.6500015258789,109.6500015258789,216363,PLAZACABLE
2023-11-28,110.6999969482422,112.6500015258789,108.0,108.4000015258789,108.4000015258789,183732,PLAZACABLE
2023-11-29,109.4000015258789,109.4000015258789,105.0999984741211,105.8000030517578,105.8000030517578,287750,PLAZACABLE
2023-11-30,105.8000030517578,110.6999969482422,105.0,109.3000030517578,109.3000030517578,237806,PLAZACABLE
2023-12-01,111.0,111.0,107.0500030517578,108.0999984741211,108.0999984741211,121050,PLAZACABLE
2023-12-04,108.9499969482422,109.9000015258789,106.5,108.3000030517578,108.3000030517578,152630,PLAZACABLE
2023-12-05,107.0,109.5,106.4000015258789,106.9499969482422,106.9499969482422,198666,PLAZACABLE
2023-12-06,106.9499969482422,108.0,104.0,105.5500030517578,105.5500030517578,272323,PLAZACABLE
2023-12-07,106.75,106.75,104.0,104.5999984741211,104.5999984741211,182380,PLAZACABLE
2023-12-08,104.9499969482422,105.6500015258789,99.4000015258789,99.4000015258789,99.4000015258789,411050,PLAZACABLE
2023-12-11,97.0,104.3499984741211,96.0,104.3499984741211,104.3499984741211,600100,PLAZACABLE
2023-12-12,104.0,107.5,102.0,102.9000015258789,102.9000015258789,256279,PLAZACABLE
2023-12-13,103.0,104.0,97.75,102.0,102.0,607732,PLAZACABLE
2023-12-14,102.0,102.8000030517578,99.0500030517578,99.9499969482422,99.9499969482422,368338,PLAZACABLE
2023-12-15,101.5,102.5,100.0,100.9499969482422,100.9499969482422,213771,PLAZACABLE
2023-12-18,101.8000030517578,102.0,98.25,100.0,100.0,218140,PLAZACABLE
2023-12-19,100.0,100.9499969482422,98.5500030517578,99.9499969482422,99.9499969482422,145103,PLAZACABLE
2023-12-20,100.9499969482422,100.9499969482422,96.0,97.1999969482422,97.1999969482422,253929,PLAZACABLE
2023-12-21,96.0,98.8000030517578,93.0500030517578,97.8000030517578,97.8000030517578,155195,PLAZACABLE
2023-12-22,97.8000030517578,100.5,97.0,100.0,100.0,155810,PLAZACABLE
2023-12-26,102.0,102.0500030517578,99.25,101.5,101.5,197221,PLAZACABLE
2023-12-27,102.4000015258789,102.4499969482422,99.1999969482422,99.6999969482422,99.6999969482422,133246,PLAZACABLE
2023-12-28,101.0,101.0,98.9000015258789,99.5999984741211,99.5999984741211,95999,PLAZACABLE
2023-12-29,99.9499969482422,100.8499984741211,99.0,100.3000030517578,100.3000030517578,148477,PLAZACABLE
2024-01-01,101.0,101.0,99.4000015258789,100.0,100.0,122740,PLAZACABLE
2024-01-02,103.6999969482422,103.6999969482422,100.1500015258789,101.5,101.5,115894,PLAZACABLE
2024-01-03,101.9000015258789,102.0,100.0,100.3499984741211,100.3499984741211,100598,PLAZACABLE
2024-01-04,100.0,101.5,100.0,100.5500030517578,100.5500030517578,101924,PLAZACABLE
2024-01-05,100.5500030517578,105.5500030517578,100.0,105.5500030517578,105.5500030517578,536866,PLAZACABLE
2024-01-08,107.9000015258789,110.1999969482422,105.0,107.9499969482422,107.9499969482422,425695,PLAZACABLE
2024-01-09,108.3000030517578,109.0999984741211,104.0,106.6500015258789,106.6500015258789,225276,PLAZACABLE
2024-01-10,106.0,106.5500030517578,104.0,104.9000015258789,104.9000015258789,146486,PLAZACABLE
2024-01-11,108.9000015258789,110.0999984741211,105.1999969482422,110.0999984741211,110.0999984741211,901754,PLAZACABLE
2024-01-12,113.0,115.5999984741211,112.3499984741211,115.5999984741211,115.5999984741211,1013764,PLAZACABLE
2024-01-15,115.5999984741211,115.5999984741211,115.5999984741211,115.5999984741211,115.5999984741211,0,PLAZACABLE
2024-01-16,120.0999984741211,120.0999984741211,115.3000030517578,115.3000030517578,115.3000030517578,602655,PLAZACABLE
2024-01-17,109.5500030517578,109.5500030517578,109.5500030517578,109.5500030517578,109.5500030517578,182089,PLAZACABLE
2024-01-18,104.0999984741211,114.9000015258789,104.0999984741211,110.3499984741211,110.3499984741211,871095,PLAZACABLE
2024-01-19,113.8000030517578,113.8000030517578,106.0,108.6500015258789,108.6500015258789,300282,PLAZACABLE
2024-01-23,107.1999969482422,107.1999969482422,101.8000030517578,102.25,102.25,335249,PLAZACABLE
2024-01-24,102.25,106.5,100.0,105.3499984741211,105.3499984741211,253055,PLAZACABLE
2024-01-25,106.6999969482422,106.75,103.5,104.4000015258789,104.4000015258789,173495,PLAZACABLE
2024-01-29,104.4000015258789,105.0,101.9499969482422,102.75,102.75,211878,PLAZACABLE
2024-01-30,103.0,103.0,101.0,102.8000030517578,102.8000030517578,164127,PLAZACABLE
2024-01-31,103.0,105.0,102.8000030517578,104.0500030517578,104.0500030517578,149170,PLAZACABLE
2024-02-01,104.0999984741211,104.6500015258789,102.5,103.0500030517578,103.0500030517578,96962,PLAZACABLE
2024-02-02,103.0,104.25,101.0999984741211,102.5500030517578,102.5500030517578,114131,PLAZACABLE
2024-02-05,103.8499984741211,107.0,103.8499984741211,106.0,106.0,300090,PLAZACABLE
