date,open,high,low,close,adj_close,volume,symbol
2017-07-31,69.4000015258789,72.0,69.4000015258789,69.4000015258789,69.4000015258789,44519,GANGESSECU
2017-08-01,66.30000305175781,70.4000015258789,65.94999694824219,68.44999694824219,68.44999694824219,59791,GANGESSECU
2017-08-02,66.55000305175781,71.8499984741211,65.05000305175781,71.8499984741211,71.8499984741211,63971,GANGESSECU
2017-08-03,70.1500015258789,75.4000015258789,70.1500015258789,71.19999694824219,71.19999694824219,35334,GANGESSECU
2017-08-04,68.0,72.5,67.6500015258789,70.1500015258789,70.1500015258789,47282,GANGESSECU
2017-08-07,68.1500015258789,73.6500015258789,66.6500015258789,72.9000015258789,72.9000015258789,46702,GANGESSECU
2017-08-08,73.6500015258789,74.0,69.30000305175781,69.5999984741211,69.5999984741211,20854,GANGESSECU
2017-08-09,66.19999694824219,69.3499984741211,66.1500015258789,66.1500015258789,66.1500015258789,27945,GANGESSECU
2017-08-10,65.4000015258789,65.4000015258789,62.84999847412109,62.84999847412109,62.84999847412109,2377,GANGESSECU
2017-08-11,59.75,60.0,59.75,59.79999923706055,59.79999923706055,22141,GANGESSECU
2017-08-14,58.79999923706055,62.75,56.900001525878906,61.59999847412109,61.59999847412109,77262,GANGESSECU
2017-08-16,59.20000076293945,64.6500015258789,58.54999923706055,63.54999923706055,63.54999923706055,52179,GANGESSECU
2017-08-17,66.6500015258789,66.69999694824219,60.5,60.900001525878906,60.900001525878906,25355,GANGESSECU
2017-08-18,58.20000076293945,60.0,57.900001525878906,57.95000076293945,57.95000076293945,9845,GANGESSECU
2017-08-21,57.0,60.79999923706055,55.54999923706055,59.25,59.25,16366,GANGESSECU
2017-08-22,58.09999847412109,62.20000076293945,58.09999847412109,61.29999923706055,61.29999923706055,18276,GANGESSECU
2017-08-23,60.70000076293945,64.3499984741211,60.70000076293945,64.3499984741211,64.3499984741211,3847,GANGESSECU
2017-08-24,66.75,67.55000305175781,65.0,66.69999694824219,66.69999694824219,25919,GANGESSECU
2017-08-28,63.54999923706055,68.5,63.54999923706055,64.94999694824219,64.94999694824219,21801,GANGESSECU
2017-08-29,66.0,66.0,62.0,62.150001525878906,62.150001525878906,25436,GANGESSECU
2017-08-30,61.04999923706055,65.25,61.04999923706055,65.25,65.25,25862,GANGESSECU
2017-08-31,68.5,68.5,65.5999984741211,68.5,68.5,45687,GANGESSECU
2017-09-01,70.0,71.80000305175781,70.0,71.30000305175781,71.30000305175781,30755,GANGESSECU
2017-09-04,74.30000305175781,74.8499984741211,71.30000305175781,74.80000305175781,74.80000305175781,26957,GANGESSECU
2017-09-05,74.8499984741211,78.5,74.8499984741211,78.5,78.5,22471,GANGESSECU
2017-09-06,82.4000015258789,82.4000015258789,82.4000015258789,82.4000015258789,82.4000015258789,6943,GANGESSECU
2017-09-07,86.5,86.5,78.4000015258789,81.1500015258789,81.1500015258789,72203,GANGESSECU
2017-09-08,79.0,83.5,77.0999984741211,77.1500015258789,77.1500015258789,27175,GANGESSECU
2017-09-11,80.4000015258789,80.5,73.5999984741211,79.5999984741211,79.5999984741211,47089,GANGESSECU
2017-09-12,79.5999984741211,83.55000305175781,78.5,82.55000305175781,82.55000305175781,40558,GANGESSECU
2017-09-13,81.0,83.9000015258789,80.0999984741211,80.69999694824219,80.69999694824219,38876,GANGESSECU
2017-09-14,81.44999694824219,83.4000015258789,79.0999984741211,79.94999694824219,79.94999694824219,8691,GANGESSECU
2017-09-15,76.0,82.0,76.0,78.19999694824219,78.19999694824219,8271,GANGESSECU
2017-09-18,81.4000015258789,82.0,75.0999984741211,79.55000305175781,79.55000305175781,52629,GANGESSECU
2017-09-19,79.0,83.5,79.0,83.5,83.5,22629,GANGESSECU
2017-09-20,83.5,87.6500015258789,82.25,87.3499984741211,87.3499984741211,12249,GANGESSECU
2017-09-21,87.0,90.0,84.0999984741211,86.0,86.0,21007,GANGESSECU
2017-09-22,83.0,87.80000305175781,81.69999694824219,83.0,83.0,4644,GANGESSECU
2017-09-25,82.0,82.0,78.8499984741211,80.55000305175781,80.55000305175781,10415,GANGESSECU
2017-09-26,80.55000305175781,81.5,78.0999984741211,78.8499984741211,78.8499984741211,4235,GANGESSECU
2017-09-27,81.80000305175781,82.75,77.0,77.94999694824219,77.94999694824219,16977,GANGESSECU
2017-09-28,81.80000305175781,81.80000305175781,76.0,81.25,81.25,15672,GANGESSECU
2017-09-29,79.0,84.0,79.0,81.0999984741211,81.0999984741211,6539,GANGESSECU
