datetime,adj_close,adj_close.1,adj_close.2,close,close.1,close.2,high,high.1,high.2,low,low.1,low.2,open,open.1,open.2,volume,volume.1,volume.2,symbol,month
2025-09-01 03:45:00+00:00,2684.300048828125,153.08999633789062,197.1000061035156,2684.300048828125,153.08999633789062,197.1000061035156,2686.89990234375,153.91000366210938,197.83999633789065,2657.199951171875,152.10000610351562,195.8999938964844,2662.300048828125,152.10000610351562,195.8999938964844,0.0,0.0,0.0,MUTHOOTFIN,2025-09
2025-09-01 03:50:00+00:00,2685.5,153.5,197.6999969482422,2685.5,153.5,197.6999969482422,2689.60009765625,153.5,198.17999267578125,2675.89990234375,153.0,197.1100006103516,2686.10009765625,153.08999633789062,197.52999877929688,17841.0,446.0,1057.0,MUTHOOTFIN,2025-09
2025-09-01 03:55:00+00:00,2688.0,153.08999633789062,197.67999267578125,2688.0,153.08999633789062,197.67999267578125,2690.5,153.2100067138672,197.8300018310547,2682.199951171875,152.55999755859375,197.41000366210935,2686.800048828125,153.2100067138672,197.8000030517578,24943.0,1024.0,891.0,MUTHOOTFIN,2025-09
2025-09-01 04:00:00+00:00,2693.0,153.00999450683594,197.2700042724609,2693.0,153.00999450683594,197.2700042724609,2697.5,153.08999633789062,197.50999450683597,2685.5,152.80999755859375,197.2700042724609,2686.89990234375,153.0800018310547,197.41000366210935,38205.0,241.0,593.0,MUTHOOTFIN,2025-09
2025-09-01 04:05:00+00:00,2689.89990234375,153.6999969482422,197.83999633789065,2689.89990234375,153.6999969482422,197.83999633789065,2695.0,153.6999969482422,197.83999633789065,2687.39990234375,153.07000732421875,197.47000122070312,2692.199951171875,153.07000732421875,197.7400054931641,17883.0,2662.0,1033.0,MUTHOOTFIN,2025-09
2025-09-01 04:10:00+00:00,2691.60009765625,153.6999969482422,199.0,2691.60009765625,153.6999969482422,199.0,2693.39990234375,153.6999969482422,199.0,2687.300048828125,153.63999938964844,198.1199951171875,2690.0,153.6999969482422,198.1199951171875,10874.0,137.0,3528.0,MUTHOOTFIN,2025-09
2025-09-01 04:15:00+00:00,2686.0,154.60000610351562,198.8000030517578,2686.0,154.60000610351562,198.8000030517578,2698.89990234375,154.6300048828125,199.5,2686.0,153.8800048828125,198.8000030517578,2690.10009765625,153.8800048828125,198.83999633789065,20266.0,2158.0,2341.0,MUTHOOTFIN,2025-09
2025-09-01 04:20:00+00:00,2687.39990234375,154.3699951171875,200.16000366210935,2687.39990234375,154.3699951171875,200.16000366210935,2690.0,154.60000610351562,200.52999877929688,2685.0,154.22000122070312,198.91000366210935,2685.199951171875,154.60000610351562,198.91000366210935,11954.0,582.0,3049.0,MUTHOOTFIN,2025-09
2025-09-01 04:25:00+00:00,2683.800048828125,154.30999755859375,200.2899932861328,2683.800048828125,154.30999755859375,200.2899932861328,2689.0,154.55999755859375,200.6199951171875,2678.699951171875,154.30999755859375,200.1100006103516,2688.0,154.5399932861328,200.52999877929688,12897.0,369.0,812.0,MUTHOOTFIN,2025-09
2025-09-01 04:30:00+00:00,2685.0,154.3300018310547,199.9600067138672,2685.0,154.3300018310547,199.9600067138672,2686.0,154.60000610351562,200.0,2682.5,154.3000030517578,199.9600067138672,2684.199951171875,154.3000030517578,200.0,7336.0,161.0,1971.0,MUTHOOTFIN,2025-09
2025-09-01 04:35:00+00:00,2682.800048828125,153.9199981689453,198.8000030517578,2682.800048828125,153.9199981689453,198.8000030517578,2685.0,154.17999267578125,199.5,2680.5,153.8000030517578,198.3300018310547,2684.199951171875,154.17999267578125,199.4499969482422,4318.0,412.0,875.0,MUTHOOTFIN,2025-09
2025-09-01 04:40:00+00:00,2684.0,154.22999572753906,199.2899932861328,2684.0,154.22999572753906,199.2899932861328,2684.0,154.24000549316406,199.2899932861328,2680.89990234375,153.8000030517578,198.69000244140625,2682.800048828125,153.89999389648438,198.69000244140625,3822.0,258.0,405.0,MUTHOOTFIN,2025-09
2025-09-01 04:45:00+00:00,2683.300048828125,154.08999633789062,199.1999969482422,2683.300048828125,154.08999633789062,199.1999969482422,2685.39990234375,154.32000732421875,199.25,2681.39990234375,153.8699951171875,199.1999969482422,2684.89990234375,154.02999877929688,199.25,3677.0,2399.0,125.0,MUTHOOTFIN,2025-09
2025-09-01 04:50:00+00:00,2684.800048828125,153.8300018310547,198.6100006103516,2684.800048828125,153.8300018310547,198.6100006103516,2684.800048828125,154.08999633789062,199.1999969482422,2682.800048828125,153.8300018310547,198.6100006103516,2683.39990234375,154.08999633789062,199.1999969482422,3658.0,103.0,565.0,MUTHOOTFIN,2025-09
2025-09-01 04:55:00+00:00,2684.800048828125,153.8300018310547,199.8300018310547,2684.800048828125,153.8300018310547,199.8300018310547,2688.89990234375,153.8300018310547,200.0,2681.0,153.8300018310547,198.6100006103516,2684.800048828125,153.8300018310547,198.6100006103516,11487.0,69.0,1056.0,MUTHOOTFIN,2025-09
2025-09-01 05:00:00+00:00,2689.800048828125,154.11000061035156,200.02999877929688,2689.800048828125,154.11000061035156,200.02999877929688,2690.0,154.22000122070312,200.02999877929688,2684.39990234375,153.8300018310547,199.75,2685.0,153.8300018310547,199.75,6888.0,232.0,41.0,MUTHOOTFIN,2025-09
2025-09-01 05:05:00+00:00,2688.89990234375,153.8300018310547,199.2899932861328,2688.89990234375,153.8300018310547,199.2899932861328,2689.800048828125,154.11000061035156,200.0,2686.0,153.8300018310547,199.2899932861328,2689.300048828125,154.11000061035156,200.0,3414.0,28.0,73.0,MUTHOOTFIN,2025-09
2025-09-01 05:10:00+00:00,2685.60009765625,153.6999969482422,,2685.60009765625,153.6999969482422,,2690.0,153.97000122070312,,2684.10009765625,153.6999969482422,,2689.5,153.97000122070312,,5704.0,187.0,,MUTHOOTFIN,2025-09
2025-09-01 05:15:00+00:00,2686.39990234375,153.92999267578125,199.44000244140625,2686.39990234375,153.92999267578125,199.44000244140625,2689.800048828125,153.92999267578125,199.4499969482422,2685.300048828125,153.60000610351562,199.2899932861328,2685.60009765625,153.60000610351562,199.2899932861328,4817.0,123.0,354.0,MUTHOOTFIN,2025-09
2025-09-01 05:20:00+00:00,2685.89990234375,154.0,199.66000366210935,2685.89990234375,154.0,199.66000366210935,2688.5,154.0,199.66000366210935,2683.800048828125,153.77999877929688,199.6100006103516,2686.39990234375,153.92999267578125,199.6100006103516,17189.0,529.0,44.0,MUTHOOTFIN,2025-09
