date,open,high,low,close,adj_close,volume,symbol
2002-07-01,19.600000381469727,21.0,19.549999237060547,20.600000381469727,18.304141998291016,20865,INDSWFTLAB
2002-07-02,21.25,24.75,21.0,24.700000762939453,21.947200775146484,152636,INDSWFTLAB
2002-07-03,25.600000381469727,28.549999237060547,25.600000381469727,28.100000381469727,24.968271255493164,263315,INDSWFTLAB
2002-07-04,28.450000762939453,29.25,25.5,26.600000381469727,23.63544464111328,104418,INDSWFTLAB
2002-07-05,27.0,28.89999961853028,27.0,28.299999237060547,25.145978927612305,144237,INDSWFTLAB
2002-07-08,28.89999961853028,29.0,26.5,26.75,23.76872634887696,68450,INDSWFTLAB
2002-07-09,27.14999961853028,29.950000762939453,27.0,27.700000762939453,24.612850189208984,192146,INDSWFTLAB
2002-07-10,28.5,28.5,27.049999237060547,27.14999961853028,24.12414932250977,32110,INDSWFTLAB
2002-07-11,26.89999961853028,27.39999961853028,26.39999961853028,26.64999961853028,23.679872512817383,27335,INDSWFTLAB
2002-07-12,26.5,28.5,26.25,26.64999961853028,23.679872512817383,28345,INDSWFTLAB
2002-07-15,26.39999961853028,27.600000381469727,26.200000762939453,26.549999237060547,23.59101676940918,14304,INDSWFTLAB
2002-07-16,25.0,28.450000762939453,25.0,26.700000762939453,23.72430229187012,83595,INDSWFTLAB
2002-07-17,25.0,26.75,24.700000762939453,26.049999237060547,23.1467399597168,59221,INDSWFTLAB
2002-07-18,25.5,27.700000762939453,25.100000381469727,26.049999237060547,23.1467399597168,62272,INDSWFTLAB
2002-07-19,26.0,26.600000381469727,26.0,26.39999961853028,23.457735061645508,12755,INDSWFTLAB
2002-07-22,25.14999961853028,25.299999237060547,24.5,24.549999237060547,21.813915252685547,10916,INDSWFTLAB
2002-07-23,25.0,25.0,24.0,24.5,21.769487380981445,11828,INDSWFTLAB
2002-07-24,24.0,24.549999237060547,22.25,23.100000381469727,20.52551651000977,37060,INDSWFTLAB
2002-07-25,25.0,25.0,22.549999237060547,23.350000381469727,20.74765586853028,28334,INDSWFTLAB
2002-07-26,22.0,23.950000762939453,21.0,21.850000381469727,19.41482925415039,38694,INDSWFTLAB
2002-07-29,22.0,22.0,20.0,20.89999961853028,18.570707321166992,17724,INDSWFTLAB
2002-07-30,23.0,23.0,20.5,20.600000381469727,18.304141998291016,12689,INDSWFTLAB
2002-07-31,20.950000762939453,20.950000762939453,20.64999961853028,20.64999961853028,18.34856414794922,6093,INDSWFTLAB
2002-08-01,21.799999237060547,21.799999237060547,20.75,21.100000381469727,18.74841690063477,18800,INDSWFTLAB
2002-08-02,20.600000381469727,21.25,20.0,20.25,17.993148803710938,28866,INDSWFTLAB
2002-08-05,20.75,22.600000381469727,20.75,22.049999237060547,19.592538833618164,13751,INDSWFTLAB
2002-08-06,22.39999961853028,24.0,21.5,21.850000381469727,19.41482925415039,21981,INDSWFTLAB
