date,open,high,low,close,adj_close,volume,symbol
2021-09-16,98.6999969482422,105.9000015258789,92.8000030517578,94.4499969482422,94.4499969482422,808527,GANESHBE
2021-09-17,94.4499969482422,95.3000030517578,80.05000305175781,86.5999984741211,86.5999984741211,313114,GANESHBE
2021-09-20,84.9000015258789,89.9000015258789,82.55000305175781,83.9000015258789,83.9000015258789,153504,GANESHBE
2021-09-21,84.9000015258789,89.5999984741211,83.05000305175781,84.19999694824219,84.19999694824219,105499,GANESHBE
2021-09-22,85.30000305175781,86.0,84.0999984741211,84.8499984741211,84.8499984741211,81318,GANESHBE
2021-09-23,85.1500015258789,87.19999694824219,83.55000305175781,83.80000305175781,83.80000305175781,83069,GANESHBE
2021-09-24,83.80000305175781,89.69999694824219,83.5,85.8499984741211,85.8499984741211,108810,GANESHBE
2021-09-27,86.44999694824219,88.0,83.05000305175781,85.6500015258789,85.6500015258789,97616,GANESHBE
2021-09-28,86.80000305175781,87.5,85.30000305175781,86.94999694824219,86.94999694824219,74889,GANESHBE
2021-09-29,86.9000015258789,88.5,85.25,87.0,87.0,65018,GANESHBE
2021-09-30,86.05000305175781,87.75,84.80000305175781,86.5,86.5,49084,GANESHBE
2021-10-01,86.5,87.75,84.30000305175781,86.4000015258789,86.4000015258789,80326,GANESHBE
2021-10-04,86.0,88.0,86.0,87.0999984741211,87.0999984741211,60797,GANESHBE
2021-10-05,87.5999984741211,92.4000015258789,86.30000305175781,91.0500030517578,91.0500030517578,158611,GANESHBE
2021-10-06,91.4000015258789,98.0,91.4000015258789,95.6500015258789,95.6500015258789,440357,GANESHBE
2021-10-07,97.0,100.5,95.0500030517578,95.5500030517578,95.5500030517578,254576,GANESHBE
2021-10-08,94.5,96.0999984741211,92.4499969482422,93.4000015258789,93.4000015258789,68536,GANESHBE
2021-10-11,94.6999969482422,95.0999984741211,89.5,91.4000015258789,91.4000015258789,111173,GANESHBE
2021-10-12,91.4000015258789,93.3499984741211,90.1999969482422,92.0,92.0,57241,GANESHBE
